_id,city,date,temperature_kelvin,humidity,weather,longitude,latitude,temp_min_kelvin,temp_max_kelvin,sunrise,sunset,wind_speed,temperature_celsius,temp_min_celsius,temp_max_celsius
67404a5a237f0fb1cca21a4f,Tokyo,2024-11-22,287.55,70,broken clouds,139.6917,35.6895,286.81,288.59,1732224247,1732260656,3.09,14.400000000000034,13.660000000000025,15.439999999999998
67404a5b237f0fb1cca21a50,Mumbai,2024-11-22,305.14,27,smoke,72.8479,19.0144,305.09,305.14,1732238417,1732278577,3.09,31.99000000000001,31.939999999999998,31.99000000000001
67404a5b237f0fb1cca21a51,Delhi,2024-11-22,298.2,36,smoke,77.2167,28.6667,298.2,298.2,1732238383,1732276514,1.54,25.05000000000001,25.05000000000001,25.05000000000001
67404a5b237f0fb1cca21a52,London,2024-11-22,277.2,77,broken clouds,-0.1257,51.5085,275.8,278.02,1732260654,1732291374,5.66,4.050000000000011,2.650000000000034,4.8700000000000045
67404a5b237f0fb1cca21a53,Bangkok,2024-11-22,304.63,50,broken clouds,100.5167,13.75,303.66,305.32,1732231273,1732272437,3.11,31.480000000000018,30.510000000000048,32.170000000000016
